subj,ability,face,fame,angle,trial,rt,acc,sq,s001,s002,s003,s004,s005,s006,s007,s008,s009,s010,s011,s012,s013,s014,s015
D13,devprop,F02,famous,A,52,1474,TRUE,s003,-0.14435,-0.15446,<undefined>,<undefined>,0.25862,-0.06044,<undefined>,0.032663,-0.071429,<undefined>,0.33929,0.27705,0.16071,0.42297,0.29882
D14,devprop,F02,famous,A,83,1202,FALSE,s004,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D15,devprop,F02,famous,A,1,1824,TRUE,s005,0.14551,-0.19271,0.25862,<undefined>,<undefined>,-0.17582,<undefined>,0.121,0.051724,<undefined>,0.14385,-0.32167,0.41379,0.16405,0.20159
D16,devprop,F02,famous,A,73,4744,TRUE,s006,-0.21051,-0.089282,-0.06044,<undefined>,-0.17582,<undefined>,<undefined>,0.13187,-0.36813,<undefined>,-0.20235,-0.26279,-0.21978,-0.10989,-0.054002
D17,devprop,F02,famous,A,70,3607,FALSE,s007,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D18,devprop,F02,famous,A,5,2685,TRUE,s008,-0.1201,0.10938,0.032663,<undefined>,0.121,0.13187,<undefined>,<undefined>,-0.13265,<undefined>,-0.037315,-0.27491,0.14286,-0.014856,0.28601
D90,devprop,F02,famous,A,106,716,TRUE,s009,-0.078947,-0.3125,-0.071429,<undefined>,0.051724,-0.36813,<undefined>,-0.13265,<undefined>,<undefined>,0.13158,-0.23162,0.35714,0.055556,-0.083333
D91,devprop,F02,famous,A,78,3942,FALSE,s010,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D92,devprop,F02,famous,A,69,1106,TRUE,s011,-0.050374,-0.23438,0.33929,<undefined>,0.14385,-0.20235,<undefined>,-0.037315,0.13158,<undefined>,<undefined>,-0.026523,0.47619,0.18519,0.25238
D93,devprop,F02,famous,A,7,1514,TRUE,s012,-0.17067,-0.24821,0.27705,<undefined>,-0.32167,-0.26279,<undefined>,-0.27491,-0.23162,<undefined>,-0.026523,<undefined>,-0.21989,0.017857,0.097631
D94,devprop,F02,famous,A,16,1018,TRUE,s013,-0.025928,-0.23438,0.16071,<undefined>,0.41379,-0.21978,<undefined>,0.14286,0.35714,<undefined>,0.47619,-0.21989,<undefined>,0.30265,0.18056
D95,devprop,F02,famous,A,103,1311,TRUE,s014,0.19098,-0.15104,0.42297,<undefined>,0.16405,-0.10989,<undefined>,-0.014856,0.055556,<undefined>,0.18519,0.017857,0.30265,<undefined>,0.21787
D96,devprop,F02,famous,A,116,1915,TRUE,s015,0.14325,-0.025148,0.29882,<undefined>,0.20159,-0.054002,<undefined>,0.28601,-0.083333,<undefined>,0.25238,0.097631,0.18056,0.21787,<undefined>
D06,devprop,F02,famous,B,133,4154,FALSE,s001,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D08,devprop,F02,famous,B,83,3317,TRUE,s002,<undefined>,<undefined>,-0.21642,<undefined>,-0.11812,-0.079309,0.14151,-0.17504,-0.18657,<undefined>,-0.2211,-0.26119,-0.22388,-0.14179,0.25373
