subj,ability,face,fame,angle,trial,rt,acc,sq,s001,s002,s003,s004,s005,s006,s007,s008,s009,s010,s011,s012,s013,s014,s015
S09,super,N11,novel,A,39,1038,TRUE,s006,0.44762,0.5,0.35156,-0.17892,-0.24442,<undefined>,0.75,0.4346,-0.0078964,-0.20711,0.75,0.53731,0.41667,0.58333,0.3
S10,super,N11,novel,A,48,725,TRUE,s007,0.33333,0.7,0.30435,-0.16164,-0.1933,0.75,<undefined>,0.45188,0.01035,-0.19218,1,0.74477,0.6,0.58824,0.275
S11,super,N11,novel,A,86,932,TRUE,s008,0.18255,0.39474,0.52174,0.12332,0.18873,0.4346,0.45188,<undefined>,0.36017,-0.11687,0.45188,0.34662,0.19776,0.30302,0.062868
S12,super,N11,novel,A,34,869,TRUE,s009,-0.15024,-0.0039482,0.21057,0.0045151,0.083333,-0.0078964,0.01035,0.36017,<undefined>,0.18182,0.01035,-0.087282,-0.054738,-0.17538,-0.15
S13,super,N11,novel,A,31,1098,TRUE,s010,-0.22694,-0.20388,-0.18073,-0.15909,-0.11364,-0.20711,-0.19218,-0.11687,0.18182,<undefined>,-0.19218,-0.27206,-0.079211,-0.34414,-0.14739
S14,super,N11,novel,A,135,709,TRUE,s011,0.33333,0.7,0.30435,-0.16164,-0.1933,0.75,1,0.45188,0.01035,-0.19218,<undefined>,0.74477,0.6,0.58824,0.275
S15,super,N11,novel,A,26,1075,TRUE,s012,0.19154,0.7,0.28634,0.039861,-0.23235,0.53731,0.74477,0.34662,-0.087282,-0.27206,0.74477,<undefined>,0.4,0.58824,0.125
S17,super,N11,novel,A,111,1407,TRUE,s013,0.11111,0.5,0.068947,-0.20524,-0.1933,0.41667,0.6,0.19776,-0.054738,-0.079211,0.6,0.4,<undefined>,0.23529,0.19216
S90,super,N11,novel,A,76,1016,TRUE,s014,0.22222,0.5,0.22485,-0.065402,-0.27393,0.58333,0.58824,0.30302,-0.17538,-0.34414,0.58824,0.58824,0.23529,<undefined>,0.025
S91,super,N11,novel,A,20,1152,TRUE,s015,0.16667,0.2,0.15217,-0.29069,0.21287,0.3,0.275,0.062868,-0.15,-0.14739,0.275,0.125,0.19216,0.025,<undefined>
S01,super,N11,novel,B,67,1154,TRUE,s001,<undefined>,0.28261,0.32195,0.31554,0.1087,0.69565,0.47826,0.34343,-0.082587,-0.51737,0.25405,0.21739,0.3913,0.19565,0.69565
